tourney_id,tourney_name,tourney_date,surface,round,draw_size,player_A_id,player_A_name,player_A_rank,player_A_rank_points,player_A_age,player_A_ht,player_B_id,player_B_name,player_B_rank,player_B_rank_points,player_B_age,player_B_ht,delta_rank,delta_age,delta_ht,delta_rank_points,target
2005-339,Adelaide,20050103,Hard,R32,32,103096,Arnaud Clement,106.0,413.0,27.0,173.0,103720,Lleyton Hewitt,3.0,3590.0,23.8,180.0,103.0,3.1999999999999993,-7.0,-3177.0,0
2005-339,Adelaide,20050103,Hard,R32,32,102860,Agustin Calleri,58.0,685.0,28.3,183.0,103813,Jarkko Nieminen,77.0,519.0,23.4,185.0,-19.0,4.900000000000002,-2.0,166.0,1
2005-339,Adelaide,20050103,Hard,R32,32,103808,Potito Starace,76.0,522.0,23.4,188.0,103898,Julien Benneteau,65.0,593.0,23.0,185.0,11.0,0.3999999999999986,3.0,-71.0,0
2005-339,Adelaide,20050103,Hard,R32,32,103758,Taylor Dent,32.0,955.0,23.6,188.0,104068,Robby Ginepri,63.0,625.0,22.2,183.0,-31.0,1.4000000000000021,5.0,330.0,1
2005-339,Adelaide,20050103,Hard,R32,32,102227,Sargis Sargsian,75.0,525.0,31.5,180.0,103428,Juan Ignacio Chela,26.0,1135.0,25.3,190.0,49.0,6.199999999999999,-10.0,-610.0,0
2005-339,Adelaide,20050103,Hard,R32,32,103063,Sebastien De Chaunac,220.0,183.0,27.2,183.0,103444,Jean Rene Lisnard,132.0,334.0,25.2,173.0,88.0,2.0,10.0,-151.0,0
2005-339,Adelaide,20050103,Hard,R32,32,104025,Amer Delic,173.0,251.0,22.5,196.0,104379,Todd Reid,126.0,354.0,20.5,180.0,47.0,2.0,16.0,-103.0,1
2005-339,Adelaide,20050103,Hard,R32,32,103781,Jurgen Melzer,39.0,920.0,23.6,183.0,104607,Tomas Berdych,45.0,863.0,19.2,196.0,-6.0,4.400000000000002,-13.0,57.0,1
2005-339,Adelaide,20050103,Hard,R32,32,103285,Radek Stepanek,33.0,950.0,26.1,185.0,104259,Philipp Kohlschreiber,88.0,466.0,21.2,178.0,-55.0,4.900000000000002,7.0,484.0,1
2005-339,Adelaide,20050103,Hard,R32,32,102179,Antony Dupuis,79.0,503.0,31.8,185.0,103694,Olivier Rochus,66.0,585.0,23.9,168.0,13.0,7.900000000000002,17.0,-82.0,0
2005-339,Adelaide,20050103,Hard,R32,32,102642,Cyril Saulnier,53.0,748.0,29.3,190.0,103385,Paul Baccanello,324.0,101.0,25.5,183.0,-271.0,3.8000000000000007,7.0,647.0,1
2005-339,Adelaide,20050103,Hard,R32,32,102854,Sjeng Schalken,57.0,705.0,28.3,193.0,103017,Nicolas Kiefer,21.0,1240.0,27.4,183.0,36.0,0.9000000000000021,10.0,-535.0,0
2005-339,Adelaide,20050103,Hard,R32,32,101885,Wayne Arthurs,101.0,433.0,33.7,190.0,104252,Florian Mayer,35.0,939.0,21.2,190.0,66.0,12.500000000000004,0.0,-506.0,0
2005-339,Adelaide,20050103,Hard,R32,32,102358,Thomas Enqvist,72.0,538.0,30.8,190.0,103171,Raemon Sluiter,82.0,482.0,26.7,185.0,-10.0,4.100000000000001,5.0,56.0,1
2005-339,Adelaide,20050103,Hard,R32,32,103252,Alberto Martin,68.0,580.0,26.3,175.0,103598,Xavier Malisse,48.0,798.0,24.4,185.0,20.0,1.9000000000000021,-10.0,-218.0,0
2005-339,Adelaide,20050103,Hard,R32,32,104026,Joachim Johansson,11.0,1595.0,22.5,198.0,104115,Marc Kimmich,309.0,107.0,21.9,183.0,-298.0,0.6000000000000014,15.0,1488.0,1
2005-339,Adelaide,20050103,Hard,R16,32,102860,Agustin Calleri,58.0,685.0,28.3,183.0,103720,Lleyton Hewitt,3.0,3590.0,23.8,180.0,55.0,4.5,3.0,-2905.0,0
2005-339,Adelaide,20050103,Hard,R16,32,103758,Taylor Dent,32.0,955.0,23.6,188.0,103898,Julien Benneteau,65.0,593.0,23.0,185.0,-33.0,0.6000000000000014,3.0,362.0,1
2005-339,Adelaide,20050103,Hard,R16,32,103428,Juan Ignacio Chela,26.0,1135.0,25.3,190.0,103444,Jean Rene Lisnard,132.0,334.0,25.2,173.0,-106.0,0.10000000000000142,17.0,801.0,1
2005-339,Adelaide,20050103,Hard,R16,32,103781,Jurgen Melzer,39.0,920.0,23.6,183.0,104025,Amer Delic,173.0,251.0,22.5,196.0,-134.0,1.1000000000000014,-13.0,669.0,1
2005-339,Adelaide,20050103,Hard,R16,32,103285,Radek Stepanek,33.0,950.0,26.1,185.0,103694,Olivier Rochus,66.0,585.0,23.9,168.0,-33.0,2.200000000000003,17.0,365.0,0
2005-339,Adelaide,20050103,Hard,R16,32,102642,Cyril Saulnier,53.0,748.0,29.3,190.0,103017,Nicolas Kiefer,21.0,1240.0,27.4,183.0,32.0,1.9000000000000021,7.0,-492.0,0
2005-339,Adelaide,20050103,Hard,R16,32,102358,Thomas Enqvist,72.0,538.0,30.8,190.0,104252,Florian Mayer,35.0,939.0,21.2,190.0,37.0,9.600000000000001,0.0,-401.0,1
2005-339,Adelaide,20050103,Hard,R16,32,103598,Xavier Malisse,48.0,798.0,24.4,185.0,104026,Joachim Johansson,11.0,1595.0,22.5,198.0,37.0,1.8999999999999986,-13.0,-797.0,0
2005-339,Adelaide,20050103,Hard,QF,32,103720,Lleyton Hewitt,3.0,3590.0,23.8,180.0,103758,Taylor Dent,32.0,955.0,23.6,188.0,-29.0,0.1999999999999993,-8.0,2635.0,0
2005-339,Adelaide,20050103,Hard,QF,32,103428,Juan Ignacio Chela,26.0,1135.0,25.3,190.0,103781,Jurgen Melzer,39.0,920.0,23.6,183.0,-13.0,1.6999999999999993,7.0,215.0,1
2005-339,Adelaide,20050103,Hard,QF,32,103017,Nicolas Kiefer,21.0,1240.0,27.4,183.0,103694,Olivier Rochus,66.0,585.0,23.9,168.0,-45.0,3.5,15.0,655.0,0
2005-339,Adelaide,20050103,Hard,QF,32,102358,Thomas Enqvist,72.0,538.0,30.8,190.0,104026,Joachim Johansson,11.0,1595.0,22.5,198.0,61.0,8.3,-8.0,-1057.0,0
2005-339,Adelaide,20050103,Hard,SF,32,103428,Juan Ignacio Chela,26.0,1135.0,25.3,190.0,103758,Taylor Dent,32.0,955.0,23.6,188.0,-6.0,1.6999999999999993,2.0,180.0,0
2005-339,Adelaide,20050103,Hard,SF,32,103694,Olivier Rochus,66.0,585.0,23.9,168.0,104026,Joachim Johansson,11.0,1595.0,22.5,198.0,55.0,1.3999999999999986,-30.0,-1010.0,0
2005-339,Adelaide,20050103,Hard,F,32,103758,Taylor Dent,32.0,955.0,23.6,188.0,104026,Joachim Johansson,11.0,1595.0,22.5,198.0,21.0,1.1000000000000014,-10.0,-640.0,0
2005-451,Doha,20050103,Hard,R32,32,103819,Roger Federer,1.0,6335.0,23.4,185.0,103970,David Ferrer,49.0,790.0,22.7,175.0,-48.0,0.6999999999999993,10.0,5545.0,1
2005-451,Doha,20050103,Hard,R32,32,102257,Greg Rusedski,46.0,805.0,31.3,193.0,103401,Jan Hernych,83.0,480.0,25.4,190.0,-37.0,5.900000000000002,3.0,325.0,1
2005-451,Doha,20050103,Hard,R32,32,103716,Uros Vico,206.0,204.0,23.8,188.0,103917,Nicolas Mahut,131.0,335.0,22.9,190.0,75.0,0.9000000000000021,-2.0,-131.0,1
2005-451,Doha,20050103,Hard,R32,32,103835,Filippo Volandri,43.0,880.0,23.3,183.0,103852,Feliciano Lopez,25.0,1185.0,23.2,188.0,18.0,0.10000000000000142,-5.0,-305.0,0
2005-451,Doha,20050103,Hard,R32,32,103206,Sebastien Grosjean,15.0,1370.0,26.6,175.0,104180,Gilles Muller,69.0,580.0,21.6,193.0,-54.0,5.0,-18.0,790.0,1
2005-451,Doha,20050103,Hard,R32,32,102703,Hyung Taik Lee,59.0,681.0,29.0,180.0,104660,Sergiy Stakhovsky,335.0,94.0,18.9,193.0,-276.0,10.100000000000001,-13.0,587.0,1
2005-451,Doha,20050103,Hard,R32,32,103971,Karol Beck,44.0,863.0,22.7,180.0,104214,Igor Andreev,50.0,781.0,21.4,185.0,-6.0,1.3000000000000007,-5.0,82.0,1
2005-451,Doha,20050103,Hard,R32,32,103333,Ivo Karlovic,61.0,640.0,25.8,208.0,103786,Nikolay Davydenko,28.0,1085.0,23.5,178.0,33.0,2.3000000000000007,30.0,-445.0,0
2005-451,Doha,20050103,Hard,R32,32,103344,Ivan Ljubicic,22.0,1235.0,25.7,193.0,104527,Stan Wawrinka,168.0,262.0,19.7,183.0,-146.0,6.0,10.0,973.0,1
2005-451,Doha,20050103,Hard,R32,32,102539,Bohdan Ulihrach,86.0,468.0,29.8,188.0,104043,Marc Lopez,149.0,300.0,22.4,175.0,-63.0,7.400000000000002,13.0,168.0,0
2005-451,Doha,20050103,Hard,R32,32,104269,Fernando Verdasco,36.0,938.0,21.1,188.0,104558,Mohammed Abdulla,1349.0,2.0,19.6,,-1313.0,1.5,,936.0,1
2005-451,Doha,20050103,Hard,R32,32,104022,Mikhail Youzhny,16.0,1340.0,22.5,183.0,104745,Rafael Nadal,51.0,775.0,18.5,185.0,-35.0,4.0,-2.0,565.0,0
2005-451,Doha,20050103,Hard,R32,32,102318,Andrei Pavel,18.0,1325.0,30.9,183.0,103843,Marco Chiudinelli,142.0,310.0,23.3,185.0,-124.0,7.599999999999998,-2.0,1015.0,0
2005-451,Doha,20050103,Hard,R32,32,102610,Albert Costa,56.0,705.0,29.5,180.0,103176,David Sanchez,74.0,528.0,26.7,183.0,-18.0,2.8000000000000007,-3.0,177.0,1
2005-451,Doha,20050103,Hard,R32,32,102148,Fabrice Santoro,52.0,748.0,32.0,178.0,102563,Thomas Johansson,30.0,1013.0,29.7,180.0,22.0,2.3000000000000007,-2.0,-265.0,1
2005-451,Doha,20050103,Hard,R32,32,103292,Gaston Gaudio,10.0,1920.0,26.0,175.0,104792,Gael Monfils,239.0,164.0,18.3,193.0,-229.0,7.699999999999999,-18.0,1756.0,0
