model,predicted_probability,actual_probability
Logistic Regression,0.0642,0.1609
Logistic Regression,0.1553,0.1815
Logistic Regression,0.2524,0.2977
Logistic Regression,0.3532,0.3699
Logistic Regression,0.4504,0.4623
Logistic Regression,0.5481,0.5495
Logistic Regression,0.6485,0.6228
Logistic Regression,0.7464,0.7008
Logistic Regression,0.8452,0.8336
Logistic Regression,0.9344,0.8795
Random Forest,0.078,0.1397
Random Forest,0.163,0.1704
Random Forest,0.2552,0.2898
Random Forest,0.3494,0.3783
Random Forest,0.451,0.4682
Random Forest,0.5491,0.5353
Random Forest,0.6475,0.6095
Random Forest,0.7468,0.7153
Random Forest,0.8444,0.8426
Random Forest,0.9199,0.8765
XGBoost,0.0554,0.1463
XGBoost,0.1591,0.1863
XGBoost,0.2526,0.3066
XGBoost,0.3515,0.388
XGBoost,0.4519,0.4622
XGBoost,0.5486,0.5545
XGBoost,0.6477,0.5907
XGBoost,0.7483,0.6956
XGBoost,0.8434,0.8096
XGBoost,0.9321,0.8763
